Politician_ID,Full_Name,Position,Political_Party,Activity_Period,Last_Year_Asset_Declaration,Last_Year_Asset_Increase_Percentage,Donations_Received,Campaign_Expenses,Business_Ties,Previous_Complaints,Is_Suspicious
1,Cynthia Medina,Representative,Care Party,2019-2020,8161793.09,0.2,45233.93,70890.02,Yes,0,0
2,April Fitzgerald,Mayor,Order Party,2019-2024,5016935.53,0.4,105137.99,208466.47,No,1,0
3,George Williams,Mayor,Like Party,2020-2022,5877579.06,0.4,40416.75,48765.39,Yes,1,1
4,Nancy Dean,Minister,Attorney Party,2021-2025,9767541.79,0.2,95482.42,27702.16,Yes,2,0
5,Kimberly Lester,Representative,Near Party,2020-2023,7233355.25,0.4,141262.03,43989.04,Declared,2,0
6,Margaret Chang,Minister,Truth Party,2018-2024,6984950.54,0.2,33493.21,137278.16,Yes,0,0
7,Alexander Perry,Representative,Week Party,2022-2020,8757782.14,0.2,146796.15,136230.82,Declared,1,0
8,Joshua Johnson,Representative,Contain Party,2024-2023,3581867.13,0.4,126419.95,228081.77,No,1,0
9,Lisa Brown,Minister,More Party,2024-2023,7211049.90,0.3,103104.01,98334.76,No,0,0
10,Samantha West,Representative,Across Party,2022-2020,8688636.24,0.4,111546.29,173939.64,Yes,0,0
11,Leslie Rice,Minister,Offer Party,2021-2023,609957.96,0.2,68643.49,41491.39,Yes,1,1
12,Emily Carter,Minister,Offer Party,2024-2025,743305.74,0.3,46003.85,41095.87,Declared,1,0
13,Cody Thompson,Mayor,Son Party,2018-2024,6453703.08,0.4,66931.86,98351.04,No,2,0
14,Brittany Butler,Senator,Beat Party,2022-2022,8007049.35,0.3,28365.94,196719.38,Yes,2,0
15,Lauren Simpson,Councilor,What Party,2020-2020,156041.25,0.4,70659.62,100451.42,No,1,0
16,Thomas Chavez,Senator,Somebody Party,2022-2022,6426911.11,0.1,6242.8,104491.75,No,1,0
17,Brittany Smith,Minister,Common Party,2019-2024,7593152.14,0.2,127605.98,77308.33,Declared,0,0
18,Jeanne Camacho,Councilor,Surface Party,2020-2025,9339113.48,0.4,62888.17,241244.46,Yes,1,1
19,Benjamin Thomas,Mayor,Skill Party,2020-2021,7180076.03,0.2,58102.19,140056.17,No,0,0
20,Nicole Thompson,Senator,Admit Party,2018-2025,4998041.65,0.3,101516.79,216303.92,Declared,1,0
21,Dana Blake,Senator,Show Party,2024-2024,55852.95,0.2,134083.97,82146.8,Yes,1,1
22,Ellen Ortiz,Minister,Serious Party,2018-2021,1333780.88,0.1,94250.66,77735.18,No,2,0
23,Miranda Lopez,Mayor,On Party,2020-2023,4833397.32,0.4,59876.37,136537.81,Yes,0,0
24,Kurt Owens,Senator,Artist Party,2021-2024,6934435.58,0.1,128190.96,122217.44,Yes,2,0
25,Lucas Shaffer,Representative,Suffer Party,2019-2020,5485714.50,0.1,86125.86,42642.64,Yes,1,1
26,Cody Bennett,Representative,Information Party,2020-2023,1770908.95,0.1,30077.45,141782.44,Yes,1,1
27,Laura Cobb,Councilor,Data Party,2024-2025,6466428.65,0.4,62272.73,125469.22,Yes,0,0
28,Sarah Reyes,Mayor,Summer Party,2021-2025,4882303.91,0.3,76182.06,113273.06,Yes,0,0
29,Timothy Jones,Senator,Ground Party,2018-2021,1131639.77,0.2,31468.21,46625.04,Declared,1,0
30,Robert Williams,Minister,Court Party,2024-2020,7390223.28,0.3,37900.59,33382.45,Declared,0,0
